year,point,start_depth,end_depth,lon,lat,dry_weight,soc,bd
2020,29,0,12,-88.02934207,39.92999067,251.5,2.22,1.3279
2020,8,0,12,-88.03086459,39.93006724,187.3,1.93,1.2641
2020,4,0,12,-88.03203607,39.93014691,224,2.94,1.2446
2020,30,0,12,-88.03308919,39.93013753,189.1,2.77,1.2892
2020,25,0,12,-88.03355453,39.92995319,223.5,2.56,1.2951
2020,11,0,12,-88.03495597,39.9297605,204.7,2.66,1.2577
2020,31,0,12,-88.03624718,39.93001925,162.5,3.03,1.257
2020,32,0,12,-88.03730029,39.93000984,217.8,2.11,1.3465
2020,20,0,12,-88.03739283,39.92838727,221.1,2.12,1.3262
2020,16,0,12,-88.03657512,39.92848468,235.6,2.34,1.3336
2020,23,0,12,-88.03459408,39.92904296,227.8,2.18,1.3877
2020,17,0,12,-88.03295728,39.92914765,202.6,2.02,1.265
2020,24,0,12,-88.03272326,39.92914973,213,2.32,1.2494
2020,26,0,12,-88.03226198,39.92960432,229.5,2.39,1.2534
2020,7,0,12,-88.03108915,39.92943457,180.9,2.24,1.2516
2020,13,0,12,-88.02979932,39.92926584,248.6,1.9,1.3287
2020,22,0,12,-88.03225386,39.92906382,207.3,2.57,1.265
2020,21,0,12,-88.03295186,39.92878731,255.1,2.87,1.2553
2020,3,0,12,-88.03342126,39.92887322,183.9,2.53,1.2677
2020,10,0,12,-88.03680098,39.92794208,220.4,1.54,1.3874
2020,15,0,12,-88.03679962,39.927852,195.9,1.75,1.3874
2020,14,0,12,-88.03726222,39.92748747,270.2,2.09,1.3413
2020,19,0,12,-88.03667989,39.92767288,241.8,1.89,1.3479
2020,12,0,12,-88.03492205,39.92750839,253.5,2.33,1.2625
2020,6,0,12,-88.03398463,39.92742666,178.9,2.11,1.3418
2020,5,0,12,-88.03247976,39.92852123,193.6,1.86,1.3785
2020,9,0,12,-88.03224032,39.92816297,209.7,1.82,1.3785
2020,2,0,12,-88.03165392,39.92807809,244.4,1.73,1.3367
2020,27,0,12,-88.0313083,39.92844155,219.5,2.15,1.3925
2020,1,0,12,-88.02931778,39.92836915,220.8,1.91,1.3545
2020,28,0,12,-88.02932048,39.92854932,180.1,1.65,1.3545
2020,18,0,12,-88.02886727,39.9295444,279.4,1.9,1.3369
2020,16,0,12,-88.02682749,39.92558611,167.3,2.48,1.3351
2020,6,0,12,-88.02612546,39.92559233,196.3,3.07,1.3351
2020,1,0,12,-88.02554043,39.9255975,293.4,1.93,1.3351
2020,20,0,12,-88.02354999,39.92552499,234.6,2.32,1.3351
2020,21,0,12,-88.02319897,39.92552809,213.9,1.98,1.3351
2020,17,0,12,-88.02308465,39.92570929,201.1,2.46,1.3351
2020,12,0,12,-88.0228493,39.92562127,223.7,2.11,1.3351
2020,18,0,12,-88.02179759,39.92572064,192.3,1.94,1.3351
2020,8,0,12,-88.02097587,39.92554769,173.8,2.68,1.3351
2020,3,0,12,-88.0196888,39.92555902,268.7,2.84,1.3351
2020,11,0,12,-88.01992683,39.92582721,200.2,2.12,1.3351
2020,14,0,12,-88.01981918,39.92645884,199.5,2.07,1.3351
2020,10,0,12,-88.02086555,39.92599914,182.2,2.45,1.3351
2020,7,0,12,-88.02098524,39.92617828,222.9,2.13,1.3351
2020,9,0,12,-88.02157027,39.92617313,131.7,2.72,1.3351
2020,5,0,12,-88.02215664,39.92625806,219.4,1.82,1.3351
2020,15,0,12,-88.02449544,39.92614732,186.4,2.49,1.3351
2020,19,0,12,-88.02460707,39.92578595,188.1,2.32,1.3351
2020,4,0,12,-88.02472542,39.925875,212.7,2.72,1.3351
2020,2,0,12,-88.02507644,39.92587189,169.7,2.59,1.3351
2020,22,0,12,-88.02601787,39.92622395,197,2.46,1.3351
2020,13,0,12,-88.02636485,39.92595059,231.8,2.56,1.3351
